Processing batch: 200 images across 10 states...
  state: us_california_dl
  state: us_pennsylvania_dl
  state: us_north_carolina_dl
  state: us_arizona_dl
  state: us_wisconsin_dl
  state: us_utah_dl
  state: us_nevada_dl
  state: us_west_virginia_dl
  state: us_south_dakota_dl
  state: us_dc_dl

=== Per-State Per-Field Accuracy (SIMPLE | PRODUCTION | REGION) ===

STATE                  FIELD         N   SIMPLE     PROD   REGION    P-Δ    R-Δ
-------------------------------------------------------------------------------
us_arizona_dl          list_1        4    25.0%    25.0%   100.0%  +0.0% +75.0%
us_arizona_dl          list_2        4    25.0%    25.0%   100.0%  +0.0% +75.0%
us_arizona_dl          list_3        4     0.0%   100.0%   100.0% +100.0%  +0.0%
us_arizona_dl          list_4a       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_arizona_dl          list_4b       4    25.0%   100.0%   100.0% +75.0%  +0.0%
us_arizona_dl          list_4d       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_arizona_dl          list_8f       4    50.0%    50.0%   100.0%  +0.0% +50.0%
us_arizona_dl          list_8s       4   100.0%   100.0%    75.0%  +0.0% -25.0%
us_arizona_dl          list_9        4   100.0%   100.0%     0.0%  +0.0% -100.0%
us_arizona_dl          list_9a       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_arizona_dl          list_12       4   100.0%   100.0%     0.0%  +0.0% -100.0%
us_arizona_dl          list_15       4   100.0%   100.0%     0.0%  +0.0% -100.0%
us_arizona_dl          list_16       4   100.0%    25.0%   100.0% -75.0% +75.0%
us_arizona_dl          list_17       4    25.0%   100.0%   100.0% +75.0%  +0.0%
us_arizona_dl          list_18       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_california_dl       list_1       39     0.0%     0.0%   100.0%  +0.0% +100.0%
us_california_dl       list_2       39     2.6%     2.6%    89.7%  +0.0% +87.2%
us_california_dl       list_3       39     0.0%   100.0%   100.0% +100.0%  +0.0%
us_california_dl       list_4a      39   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_california_dl       list_4b      39     0.0%   100.0%   100.0% +100.0%  +0.0%
us_california_dl       list_4d      39     0.0%     7.7%   100.0%  +7.7% +92.3%
us_california_dl       list_8f      39   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_california_dl       list_8s      39   100.0%   100.0%    97.4%  +0.0%  -2.6%
us_california_dl       list_9       39     0.0%   100.0%     0.0% +100.0% -100.0%
us_california_dl       list_9a      39     0.0%   100.0%   100.0% +100.0%  +0.0%
us_california_dl       list_12      39     0.0%   100.0%     0.0% +100.0% -100.0%
us_california_dl       list_15      39    76.9%   100.0%   100.0% +23.1%  +0.0%
us_california_dl       list_16      39     2.6%   100.0%   100.0% +97.4%  +0.0%
us_california_dl       list_17      39     5.1%   100.0%   100.0% +94.9%  +0.0%
us_california_dl       list_18      39     0.0%    94.9%   100.0% +94.9%  +5.1%
us_california_dl       list_19      39     0.0%    94.9%   100.0% +94.9%  +5.1%
us_nevada_dl           list_1        3   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_nevada_dl           list_2        3   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_nevada_dl           list_3        3     0.0%   100.0%   100.0% +100.0%  +0.0%
us_nevada_dl           list_4a       3    66.7%    66.7%   100.0%  +0.0% +33.3%
us_nevada_dl           list_4b       3   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_nevada_dl           list_4d       3    66.7%   100.0%   100.0% +33.3%  +0.0%
us_nevada_dl           list_8f       3     0.0%     0.0%   100.0%  +0.0% +100.0%
us_nevada_dl           list_8s       3    33.3%    33.3%    66.7%  +0.0% +33.3%
us_nevada_dl           list_15       1   100.0%   100.0%     0.0%  +0.0% -100.0%
us_nevada_dl           list_16       3   100.0%   100.0%     0.0%  +0.0% -100.0%
us_nevada_dl           list_17       3    66.7%    66.7%   100.0%  +0.0% +33.3%
us_nevada_dl           list_18       3     0.0%     0.0%   100.0%  +0.0% +100.0%
us_nevada_dl           list_19       3     0.0%     0.0%   100.0%  +0.0% +100.0%
us_north_carolina_dl   list_1        9    66.7%    66.7%   100.0%  +0.0% +33.3%
us_north_carolina_dl   list_2        9   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_north_carolina_dl   list_3        9    66.7%   100.0%   100.0% +33.3%  +0.0%
us_north_carolina_dl   list_4a       9     0.0%   100.0%   100.0% +100.0%  +0.0%
us_north_carolina_dl   list_4b       9   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_north_carolina_dl   list_4d       9   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_north_carolina_dl   list_8f       9   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_north_carolina_dl   list_8s       9   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_north_carolina_dl   list_9        4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_north_carolina_dl   list_9a       9     0.0%   100.0%   100.0% +100.0%  +0.0%
us_north_carolina_dl   list_12       9     0.0%   100.0%   100.0% +100.0%  +0.0%
us_north_carolina_dl   list_15       9     0.0%   100.0%   100.0% +100.0%  +0.0%
us_north_carolina_dl   list_16       9     0.0%     0.0%    75.0%  +0.0% +75.0%
us_north_carolina_dl   list_18       9     0.0%     0.0%   100.0%  +0.0% +100.0%
us_north_carolina_dl   list_19       9     0.0%    66.7%   100.0% +66.7% +33.3%
us_pennsylvania_dl     list_1       11   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_pennsylvania_dl     list_2       11   100.0%   100.0%    90.9%  +0.0%  -9.1%
us_pennsylvania_dl     list_3       11     0.0%   100.0%    81.8% +100.0% -18.2%
us_pennsylvania_dl     list_4a      11     0.0%   100.0%   100.0% +100.0%  +0.0%
us_pennsylvania_dl     list_4b      11     0.0%   100.0%   100.0% +100.0%  +0.0%
us_pennsylvania_dl     list_4d      11    27.3%   100.0%   100.0% +72.7%  +0.0%
us_pennsylvania_dl     list_8f      11    81.8%    81.8%   100.0%  +0.0% +18.2%
us_pennsylvania_dl     list_9       11     0.0%     0.0%   100.0%  +0.0% +100.0%
us_pennsylvania_dl     list_9a      11     0.0%   100.0%   100.0% +100.0%  +0.0%
us_pennsylvania_dl     list_12      11     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_pennsylvania_dl     list_15      11     0.0%   100.0%   100.0% +100.0%  +0.0%
us_pennsylvania_dl     list_16      11     0.0%     0.0%   100.0%  +0.0% +100.0%
us_pennsylvania_dl     list_18      11     0.0%     0.0%   100.0%  +0.0% +100.0%
us_south_dakota_dl     list_1        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_2        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_3        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_4a       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
